company_name,original_domain,domain,domain_status,domain_confidence,heavy_equipment,category,qualification_source,us_based,notes,issue_flagged
Delano Portable Toilet Rentals,,,not_researched,,No,,name/domain rules,,"domain not researched (web-search limit reached); name: non-heavy-equipment term ""porta""",missing
Delano Towing,,,not_researched,,No,,name/domain rules,,"domain not researched (web-search limit reached); name: non-heavy-equipment term ""towing""",missing
Delta Cranes - Mobile and Hydraulic Crane Services,deltacranes.com,deltacranes.com,original,,Yes,,name/domain rules,,"name: ""cranes""",
Delta Grinding Company Inc,deltagrinding.com,deltagrinding.com,original,,No,unrelated/other,AI review (name/domain),,name/domain indicates non-heavy-equipment business,
Demetrio's forklift's & Hydraulics,,,not_researched,,Yes,,name/domain rules,,"domain not researched (web-search limit reached); name: ""fork lifts""",missing
Demler Farms,,,not_researched,,No,farm,AI review (name only),,domain not researched (web-search limit reached); no clear signal in name,missing
Demo Sport,demosport.com,demosport.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""sports""",
Demolition Contractor,demolitionsantacruz.com,demolitionsantacruz.com,original,,Yes,demolition contractor,AI review (name/domain),,name/domain indicates heavy equipment business,
Dependable Crane,dependablecrane.com,dependablecrane.com,original,,Yes,,name/domain rules,,"name: ""cranes""",
Dependable Crane School,dependablecraneschool.com,dependablecraneschool.com,original,,Yes,,name/domain rules,,"name: ""cranes""",
Dependable Lift,dependablelift.com,dependablelift.com,original,,Yes,,name/domain rules,,"name: ""lifts""",
Derian Mobile Equipment Repair,sandiegotractorrepair.com,sandiegotractorrepair.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
Desert Crane Service Inc,desertcrane.com,desertcrane.com,original,,Yes,,name/domain rules,,"name: ""cranes""",
Desert Event Rentals,,,not_researched,,No,,name/domain rules,,"domain not researched (web-search limit reached); name: non-heavy-equipment term ""events""",missing
Desert Fitness Equipment,desertfitnessinc.com,desertfitnessinc.com,original,,No,,name/domain rules,,"name: ""equipment"" qualified by non-heavy term ""fitness""",
Desert Hills Crane Service LLC,,,not_researched,,Yes,,name/domain rules,,"domain not researched (web-search limit reached); name: ""cranes""",missing
"Desert Medical Equipment, Inc",desertmedical.com,desertmedical.com,original,,No,,name/domain rules,,"name: ""equipment"" qualified by non-heavy term ""medical""",
Desert Pawn Shop,,,not_researched,,No,,name/domain rules,,"domain not researched (web-search limit reached); name: non-heavy-equipment term ""pawn""",missing
Desert Rental & Resale Services,,,not_researched,,Unsure,rental/resale,AI review (name only),,"domain not researched (web-search limit reached); ambiguous term ""rent(al)s""",missing
Desert Sky Event Rentals & Party Supplies,,,not_researched,,No,,name/domain rules,,"domain not researched (web-search limit reached); name: non-heavy-equipment term ""party""",missing
Desert Truck Sales,desertrucksales.com,desertrucksales.com,original,,Yes,heavy truck dealer,AI review (name/domain),,name/domain indicates heavy equipment business,
Desert Truck Supply,deserttrucksupply.com,deserttrucksupply.com,original,,Yes,heavy truck parts,AI review (name/domain),,name/domain indicates heavy equipment business,
Details Party Rentals,,,not_researched,,No,,name/domain rules,,"domain not researched (web-search limit reached); name: non-heavy-equipment term ""party""",missing
DeWolfe Crane Service,dewolfecrane.com,dewolfecrane.com,original,,Yes,,name/domain rules,,"name: ""cranes""",
Diamond A Equipment,diamondaequipment.com,diamondaequipment.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
Diamond Bar Portable Toilet Rentals,,,not_researched,,No,,name/domain rules,,"domain not researched (web-search limit reached); name: non-heavy-equipment term ""porta""",missing
Diamond Crane Co. Inc.,diamondcranecompany.com,diamondcranecompany.com,original,,Yes,,name/domain rules,,"name: ""cranes""",
Diamond Equipment Leasing,,,not_researched,,Yes,,name/domain rules,,"domain not researched (web-search limit reached); name: ""equipment""",missing
Diamond Star Commercial Vehicles,westrux.com,westrux.com,not_researched,,Yes,heavy truck dealer,AI review (name only),,domain not researched (web-search limit reached); no clear signal in name,domain does not match name
Diamond Valley Market,diamondvalleymarket.net,diamondvalleymarket.net,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""market""",
Diaz Rack Inc.,diazrack.com,diazrack.com,original,,No,unrelated/other,AI review (name/domain),,name/domain indicates non-heavy-equipment business,
Dick's Community Towing Campbell,dickscommunitytow.com,dickscommunitytow.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""towing""",
DICK'S Sporting Goods,stores.dickssportinggoods.com,stores.dickssportinggoods.com,original,,No,unrelated/other,AI review (name/domain),,name/domain indicates non-heavy-equipment business,
Diesel-Tune,dzltune.com,dzltune.com,original,,No,unrelated/other,AI review (name/domain),,name/domain indicates non-heavy-equipment business,
Direct Tools & Fasteners,directtools.com,directtools.com,original,,No,unrelated/other,AI review (name/domain),,name/domain indicates non-heavy-equipment business,
DirtPro Skidsteer Rental,,,not_researched,,Yes,,name/domain rules,,"domain not researched (web-search limit reached); name: ""skid steer""",missing
Discount 909 Tools,,,not_researched,,No,tool retail,AI review (name only),,"domain not researched (web-search limit reached); ambiguous term ""tools""",missing
Discount AG Parts,,,not_researched,,Yes,,name/domain rules,,"domain not researched (web-search limit reached); name: ""ag""",missing
Discount Fork Lift Services,,,not_researched,,Yes,,name/domain rules,,"domain not researched (web-search limit reached); name: ""fork lifts""",missing
DJ Solstice,djsolsticelive.com,djsolsticelive.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""dj""",
Dm Party Rental,dmpartyrentalndeco.wixsite.com,dmpartyrentalndeco.wixsite.com,not_researched,,No,,name/domain rules,,"domain not researched (web-search limit reached); name: non-heavy-equipment term ""party""",platform/listing domain
DM Tent & Event Rentals,,,not_researched,,No,,name/domain rules,,"domain not researched (web-search limit reached); name: non-heavy-equipment term ""events""",missing
DMC ENTERPRISES,dmc-ent.com,dmc-ent.com,original,,No,unrelated/other,AI review (name/domain),,name/domain indicates non-heavy-equipment business,
DMES Medical Supply Store Mission Viejo,dmes.com,dmes.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""medical""",
DNN Party Rentals,dnnpartyrentals.com,dnnpartyrentals.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""party""",
Doc Bailey Construction Equipment Inc,888docbailey.com,888docbailey.com,original,,Yes,,name/domain rules,,"name: ""construction equip""",
Dolk Tractor Company,dolktractorcompany.com,dolktractorcompany.com,original,,Yes,,name/domain rules,,"name: ""tractors""",
Dolphin Event Services Party Rental,dolphinevents.biz,dolphinevents.biz,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""party""",
Dolphins Jumpers,dolphinsjumpers.com,dolphinsjumpers.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""jump""",
Domries Enterprises Inc,domries.com,domries.com,original,,Yes,water truck builder,AI review (name/domain),,name/domain indicates heavy equipment business,
Donahue Truck Centers & Donahue Idealease,donahuetrucks.com,donahuetrucks.com,original,,Yes,heavy truck dealer,AI review (name/domain),,name/domain indicates heavy equipment business,
Donal Machine Inc,donalmachine.com,donalmachine.com,original,,Yes,,name/domain rules,,"name: ""machines""",
Doosan Material Handling Solutions,forkliftsgroup.com,forkliftsgroup.com,not_researched,,Yes,,name/domain rules,,"domain not researched (web-search limit reached); name: ""doosan""",domain does not match name
Dorado Equipment Corporation - Asphalt roller rentals,doradoequipment.com,doradoequipment.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
Doty Brothers Equipment Co,dotybros.com,dotybros.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
Double D Rentals,,,not_researched,,Unsure,rental,AI review (name only),,"domain not researched (web-search limit reached); ambiguous term ""rent(al)s""",missing
Double Dee Tractor Sales,,,not_researched,,Yes,,name/domain rules,,"domain not researched (web-search limit reached); name: ""tractors""",missing
Dowdys Sales and Service Inc,dowdys.com,dowdys.com,original,,Yes,ag equipment dealer,AI review (name/domain),,name/domain indicates heavy equipment business,
Downey Party Rentals,downeypartyrentals.net,downeypartyrentals.net,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""party""",
Downs Equipment Rentals Inc,downsequip.com,downsequip.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
DPForklift Forklift Repair & Maintenance,,,not_researched,,Yes,,name/domain rules,,"domain not researched (web-search limit reached); name: ""fork lifts""",missing
"Dr. Carrie R. Kubota, OD",drcarriekubota.com,drcarriekubota.com,original,,Yes,,name/domain rules,,"name: ""kubota""",
Draco Trucks and Equipment Inc.,dracotrucks.com,dracotrucks.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
Drake Construction Equipment Rentals,,,not_researched,,Yes,,name/domain rules,,"domain not researched (web-search limit reached); name: ""construction equip""",missing
Dreamland Tree Service tree trimmers,dreamlandtreeservice.com,dreamlandtreeservice.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""tree (service|care|removal)""",
Dron's Equipment Repair and Trucking,dronsequipment.com,dronsequipment.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
DRS RENTALS LLC,,,not_researched,,Unsure,rental (unknown type),AI review (name only),,"domain not researched (web-search limit reached); ambiguous term ""rent(al)s""",missing
Drummond Machinery,drummondmachinery.com,drummondmachinery.com,original,,Yes,,name/domain rules,,"name: ""machinery""",
DRV Modular Contractors Inc,drvmodular.com,drvmodular.com,original,,No,unrelated/other,AI review (name/domain),,name/domain indicates non-heavy-equipment business,
DS Trailer Rentals LLC,dstrailerrentals.com,dstrailerrentals.com,original,,No,unrelated/other,AI review (name/domain),,name/domain indicates non-heavy-equipment business,
Dublin Portable Toilet Rentals,,,not_researched,,No,,name/domain rules,,"domain not researched (web-search limit reached); name: non-heavy-equipment term ""porta""",missing
Duckworth Backhoe Inc,duckworthbackhoeinc.com,duckworthbackhoeinc.com,original,,Yes,,name/domain rules,,"name: ""backhoe""",
Dump Run Pro,dumprunpro.com,dumprunpro.com,original,,No,unrelated/other,AI review (name/domain),,name/domain indicates non-heavy-equipment business,
Dumpster Rentals By Truck n Go Delivery Inc.,rentalstruckngo.com,rentalstruckngo.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""dumpsters""",
Dura Crane Inc,duracrane.com,duracrane.com,original,,Yes,,name/domain rules,,"name: ""cranes""",
Dura Lift Inc.,,,not_researched,,Yes,,name/domain rules,,"domain not researched (web-search limit reached); name: ""lifts""",missing
Duran Aerial Lift Rental,,,not_researched,,Yes,,name/domain rules,,"domain not researched (web-search limit reached); name: ""aerial""",missing
Duran Tractos,durantractorsllc.com,durantractorsllc.com,original,,Yes,,name/domain rules,,"domain: ""tractor""",
Dynamic Hobbies,dynamichobbieshemetca.com,dynamichobbieshemetca.com,original,,No,unrelated/other,AI review (name/domain),,name/domain indicates non-heavy-equipment business,
Dynamic Rentals,dynamicrentals.com,dynamicrentals.com,original,,Yes,equipment rental,AI review (name/domain),,name/domain indicates heavy equipment business,
Dynamik Inc. DVBE California,dynamikinc.com,dynamikinc.com,original,,No,unrelated/other,AI review (name/domain),,name/domain indicates non-heavy-equipment business,
e-Dispositions,edispositions.com,edispositions.com,original,,No,unrelated/other,AI review (name/domain),,name/domain indicates non-heavy-equipment business,
E&E Industries,e-eindustries.com,e-eindustries.com,original,,No,unrelated/other,AI review (name/domain),,name/domain indicates non-heavy-equipment business,
E L Crane Construction,,,not_researched,,Yes,,name/domain rules,,"domain not researched (web-search limit reached); name: ""cranes""",missing
E & M Forklift Repair,,,not_researched,,Yes,,name/domain rules,,"domain not researched (web-search limit reached); name: ""fork lifts""",missing
E-Rentals & Tents Inc,erentalsevents.com,erentalsevents.com,not_researched,,No,,name/domain rules,,"domain not researched (web-search limit reached); name: non-heavy-equipment term ""tents""",domain does not match name
E W Truck & Equipment Co,ewtruck.com,ewtruck.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
Eagle Equipment Rental,,,not_researched,,Yes,,name/domain rules,,"domain not researched (web-search limit reached); name: ""equipment""",missing
"Eagle Forklift, Inc.",,,not_researched,,Yes,,name/domain rules,,"domain not researched (web-search limit reached); name: ""fork lifts""",missing
Eagle Tools,eagle-tools.com,eagle-tools.com,original,,No,unrelated/other,AI review (name/domain),,name/domain indicates non-heavy-equipment business,
East Backhoe Services,,,not_researched,,Yes,,name/domain rules,,"domain not researched (web-search limit reached); name: ""backhoe""",missing
East Bay Forklift Inc,cromer.com,cromer.com,not_researched,,Yes,,name/domain rules,,"domain not researched (web-search limit reached); name: ""fork lifts""",domain does not match name
East Bay Lawnmower,eastbaylawnmower.com,eastbaylawnmower.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""lawn""",
East Bay Tire Co,eastbaytire.com,eastbaytire.com,original,,No,unrelated/other,AI review (name/domain),,name/domain indicates non-heavy-equipment business,
East Bay Trailers,eastbaytrailer.com,eastbaytrailer.com,original,,No,unrelated/other,AI review (name/domain),,name/domain indicates non-heavy-equipment business,
Eastlake Rentals,,,not_researched,,Unsure,rental (unknown type),AI review (name only),,"domain not researched (web-search limit reached); ambiguous term ""rent(al)s""",missing
Easy Farm Supply BCS Dealer,easyfarmsupply.com,easyfarmsupply.com,original,,Yes,,name/domain rules,,"name: ""farm""",
Eberhard Equipment - Santa Ana,eberhardequipment.com,eberhardequipment.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
Eco Diggers,ecodiggers.com,ecodiggers.com,original,,Yes,excavation contractor,AI review (name/domain),,name/domain indicates heavy equipment business,
Eco-Rental Solutions,eco-rentalsolutions.com,eco-rentalsolutions.com,original,,No,unrelated/other,AI review (name/domain),,name/domain indicates non-heavy-equipment business,
Ecolab Equipment Care - GCS Service,,,not_researched,,Yes,,name/domain rules,,"domain not researched (web-search limit reached); name: ""equipment""",missing
ECON Ferreteria-Hardware,,,not_researched,,No,hardware store,AI review (name only),,"domain not researched (web-search limit reached); ambiguous term ""hardware""",missing
economy equipment supplier,,,not_researched,,Yes,,name/domain rules,,"domain not researched (web-search limit reached); name: ""equipment""",missing
"Economy Rentals, Inc",econrent.com,econrent.com,not_researched,,Unsure,equipment rental,AI review (name only),,"domain not researched (web-search limit reached); ambiguous term ""rent(al)s""",domain does not match name
Economy Restaurant Equipment & Supply Company,economyrestaurantequip.com,economyrestaurantequip.com,original,,No,,name/domain rules,,"name: ""equipment"" qualified by non-heavy term ""restaurant""",
Economy Tree & Crane Inc.,economytreeandcrane.com,economytreeandcrane.com,original,,Yes,,name/domain rules,,"name: ""cranes""",
"Eden Equipment Company, Inc.",edenequipment.com,edenequipment.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
Eden USA,edenusa.com,edenusa.com,original,,No,unrelated/other,AI review (name/domain),,name/domain indicates non-heavy-equipment business,
Edge International,,,not_researched,,Unsure,unknown,AI review (name only),,"domain not researched (web-search limit reached); ambiguous term ""international""",missing
Edgecombe Crane,,,not_researched,,Yes,,name/domain rules,,"domain not researched (web-search limit reached); name: ""cranes""",missing
EKKO Material Handling Equipment,ekkolifts.com,ekkolifts.com,original,,Yes,,name/domain rules,,"name: ""material handling""",
El Cheapo Lifts,elcheapolifts.com,elcheapolifts.com,original,,Yes,,name/domain rules,,"name: ""lifts""",
El Dorado Crane & Rigging,eldoradocrane.com,eldoradocrane.com,original,,Yes,,name/domain rules,,"name: ""cranes""",
El Gordo Lawn Mower & Tires,,,not_researched,,No,,name/domain rules,,"domain not researched (web-search limit reached); name: non-heavy-equipment term ""lawn""",missing
El Granero Pet Shop,elgraneropet.com,elgraneropet.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""pets""",
El Monte Portable Toilet Rentals,,,not_researched,,No,,name/domain rules,,"domain not researched (web-search limit reached); name: non-heavy-equipment term ""porta""",missing
El Rancho Animal Feed Store,,,not_researched,,No,,name/domain rules,,"domain not researched (web-search limit reached); name: non-heavy-equipment term ""feed""",missing
El Regio Party Rentals,elregioparty.com,elregioparty.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""party""",
El Torito Jumpers,,,not_researched,,No,,name/domain rules,,"domain not researched (web-search limit reached); name: non-heavy-equipment term ""jump""",missing
Eldorado Forklift Co.,forkliftbayarea.com,forkliftbayarea.com,original,,Yes,,name/domain rules,,"name: ""fork lifts""",
Eldorado Forklift material handling company,eldoradoforkliftmh.com,eldoradoforkliftmh.com,original,,Yes,,name/domain rules,,"name: ""fork lifts""",
Eldorin Portable Toilet Services,eldorinportabletoiletservices.us,eldorinportabletoiletservices.us,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""porta""",
Electric wheelchair and Scooter Company MALISA MOBILITY,malisamobility.com,malisamobility.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""mobility""",
Electrical Equipment Co Inc,electricequipcompanyus.com,electricequipcompanyus.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
Electrolift,electrolifts.com,electrolifts.com,original,,Yes,forklift dealer,AI review (name/domain),,name/domain indicates heavy equipment business,
Elevated Equipment Rental,scissor-lift-rentals.com,scissor-lift-rentals.com,not_researched,,Yes,,name/domain rules,,"domain not researched (web-search limit reached); name: ""equipment""",domain does not match name
Elevated Party Rentals,elevatedpartyrentals.com,elevatedpartyrentals.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""party""",
"Elevator, LLC",elevatorswingstage.com,elevatorswingstage.com,original,,No,unrelated/other,AI review (name/domain),,name/domain indicates non-heavy-equipment business,
Elg Metals Inc,elg.de,elg.de,not_researched,,No,metals recycling,AI review (name only),,domain not researched (web-search limit reached); no clear signal in name,non-US domain
Elite Bay Party Rentals,elitebaypartyrentals.com,elitebaypartyrentals.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""party""",
Elite Comfort Systems,elitecomfortsystems.com,elitecomfortsystems.com,original,,No,unrelated/other,AI review (name/domain),,name/domain indicates non-heavy-equipment business,
Elite Construction Equipment,eliteconstructionequipment.com,eliteconstructionequipment.com,original,,Yes,,name/domain rules,,"name: ""construction equip""",
"Elite Diesel Equipment, Inc.",elitedieselequip.com,elitedieselequip.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
Elite Equipment,eliteequipmentinc.com,eliteequipmentinc.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
Elite Equipment Rentals,elite-equipmentrentals.com,elite-equipmentrentals.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
Elite Farmers Supply,,,not_researched,,Unsure,farm supply,AI review (name only),,"domain not researched (web-search limit reached); ambiguous term ""suppl(y|ies)""",missing
Elite feed store / farm supply,,,not_researched,,No,,name/domain rules,,"domain not researched (web-search limit reached); name: ""farm"" qualified by non-heavy term ""feed""",missing
Elite Forklift Service and Repair Inc.,eliteforkliftservice.com,eliteforkliftservice.com,original,,Yes,,name/domain rules,,"name: ""fork lifts""",
Elite Heavy Equipment Services Corp.,,,not_researched,,Yes,,name/domain rules,,"domain not researched (web-search limit reached); name: ""heavy""",missing
Elite Lift Service,eliteautolift.com,eliteautolift.com,original,,Yes,,name/domain rules,,"name: ""lifts""",
Elite Montclair AC Repair's INC,,,not_researched,,No,,name/domain rules,,"domain not researched (web-search limit reached); name: non-heavy-equipment term ""ac""",missing
Elite Monterey Park AC Repair'LLC,,,not_researched,,No,,name/domain rules,,"domain not researched (web-search limit reached); name: non-heavy-equipment term ""ac""",missing
Elite Party Supplies,partyrentalsvisalia.com,partyrentalsvisalia.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""party""",
Elite Scaffold LLC,elitescaffoldca.com,elitescaffoldca.com,original,,No,unrelated/other,AI review (name/domain),,name/domain indicates non-heavy-equipment business,
Elite Tools and More,elitetoolsandmore.com,elitetoolsandmore.com,original,,No,unrelated/other,AI review (name/domain),,name/domain indicates non-heavy-equipment business,
"Elite Truck and Equipment, Inc",elitetrucksale.com,elitetrucksale.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
Elizabeth Enterprises Inc,heavyequipmentrentalfremont.com,heavyequipmentrentalfremont.com,not_researched,,Yes,,name/domain rules,,"domain not researched (web-search limit reached); domain: ""heavyequip""",domain does not match name
Elk Grove City Porta Potty Rentals,,,not_researched,,No,,name/domain rules,,"domain not researched (web-search limit reached); name: non-heavy-equipment term ""porta""",missing
"Elk Grove Milling, Inc.",elkgrovemilling.com,elkgrovemilling.com,original,,No,unrelated/other,AI review (name/domain),,name/domain indicates non-heavy-equipment business,
Elk Grove Portable Toilet Rentals,,,not_researched,,No,,name/domain rules,,"domain not researched (web-search limit reached); name: non-heavy-equipment term ""porta""",missing
Elk Grove Power Equipment,elkgrovepowerequipment.com,elkgrovepowerequipment.com,original,,No,,name/domain rules,,"name: ""equipment"" qualified by non-heavy term ""power equipment""",
"Ellis Equipment, Inc.",ellisrents.com,ellisrents.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
Elmer's Lawn Mower & Saw Shop,,,not_researched,,No,,name/domain rules,,"domain not researched (web-search limit reached); name: non-heavy-equipment term ""lawn""",missing
Elms Equipment,elmsrental.com,elmsrental.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
ELR Equiement Rental,,,not_researched,,Unsure,,name/domain rules,,"domain not researched (web-search limit reached); ambiguous term ""rent(al)s""",missing
Elsinore Valley Rentals,elsinorevalleyrentals.com,elsinorevalleyrentals.com,original,,Yes,equipment rental,AI review (name/domain),,name/domain indicates heavy equipment business,
Elston Hay & Grain,elstonhayandgrain.com,elstonhayandgrain.com,original,,No,unrelated/other,AI review (name/domain),,name/domain indicates non-heavy-equipment business,
"ELV Motors, Inc.",elvmotors.com,elvmotors.com,original,,No,unrelated/other,AI review (name/domain),,name/domain indicates non-heavy-equipment business,
"Emberwest Fireplace & Patio, LLC.",emberwest.com,emberwest.com,original,,No,unrelated/other,AI review (name/domain),,name/domain indicates non-heavy-equipment business,
Emerald Palace Party Rental jumpers.,,,not_researched,,No,,name/domain rules,,"domain not researched (web-search limit reached); name: non-heavy-equipment term ""party""",missing
Emergency Equipment Management,emergencyeq.com,emergencyeq.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
Empire Equipment Rentals INC,empireequipmentinc.com,empireequipmentinc.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
"Empire Equipment Service, Inc",empireequipmentservice.com,empireequipmentservice.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
"Empire Lift Systems, Inc.",empireliftsystems.com,empireliftsystems.com,original,,Yes,,name/domain rules,,"name: ""lifts""",
Empire Valley Party Rentals,empirevalleypartyrentals.com,empirevalleypartyrentals.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""party""",
Emrick Machinery Sales,emrickmachinery.com,emrickmachinery.com,original,,Yes,,name/domain rules,,"name: ""machinery""",
Enchanted Rentals,enchantedrentals.org,enchantedrentals.org,original,,No,unrelated/other,AI review (name/domain),,name/domain indicates non-heavy-equipment business,
Encinitas Bounce House & Party Rentals,encinitaspartyrental.com,encinitaspartyrental.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""party""",
Encore Events Rentals,encoreeventsrentals.com,encoreeventsrentals.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""events""",
Energy Solutions,hvacenergysolutions.com,hvacenergysolutions.com,original,,No,unrelated/other,AI review (name/domain),,name/domain indicates non-heavy-equipment business,
ENG Cranes USA,,,not_researched,,Yes,,name/domain rules,,"domain not researched (web-search limit reached); name: ""cranes""",missing
Engineered Crane Services,,,not_researched,,Yes,,name/domain rules,,"domain not researched (web-search limit reached); name: ""cranes""",missing
Engineering Supply Company,,,not_researched,,Unsure,,name/domain rules,,"domain not researched (web-search limit reached); ambiguous term ""suppl(y|ies)""",missing
English Crane Service LLC,englishandsonscranesite.com,englishandsonscranesite.com,original,,Yes,,name/domain rules,,"name: ""cranes""",
"Enterprise Motors, Inc - Truck Sales",enterprisemotors.com,enterprisemotors.com,original,,Yes,heavy truck dealer,AI review (name/domain),,name/domain indicates heavy equipment business,
Enterprise Rent-A-Car,enterprise.com,enterprise.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""cars""",
"EO Truck & Trailer, Inc.",eotruckandtrailer.com,eotruckandtrailer.com,original,,Yes,heavy truck dealer,AI review (name/domain),,name/domain indicates heavy equipment business,
Eoslift USA Corporation,eoslift.us,eoslift.us,original,,Yes,forklift manufacturer,AI review (name/domain),,name/domain indicates heavy equipment business,
Equip4Sale Buy Used Equipment,equip4sale.com,equip4sale.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
"EQUIPCO Rentals, Sales, Service",equipcoservices.com,equipcoservices.com,original,,Yes,,name/domain rules,,"domain: ""equip""",
Equipment- Anaheim,equipmentanaheim.com,equipmentanaheim.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
Equipment Co of Los Angeles,ecolalift.com,ecolalift.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
Equipment Design and Manufacturing,equipmentdesign.net,equipmentdesign.net,original,,Yes,,name/domain rules,,"name: ""equipment""",
Equipment Direct,equipdirect.com,equipdirect.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
"Equipment Engineering, Inc Group",equipmentengineering.com,equipmentengineering.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
Equipment Financings,equipmentfinancings.com,equipmentfinancings.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
Equipment Maintenance,,,not_researched,,Yes,,name/domain rules,,"domain not researched (web-search limit reached); name: ""equipment""",missing
"Equipment Pro, LLC",,,not_researched,,Yes,,name/domain rules,,"domain not researched (web-search limit reached); name: ""equipment""",missing
Equipment Rental Center,erc-rentals.com,erc-rentals.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
Equipment Rental & Excavation Coulter Gradall Inc,gradallrental.com,gradallrental.com,original,,Yes,,name/domain rules,,"name: ""excavat""",
Equipment Solutions,equipsol.net,equipsol.net,not_researched,,Yes,,name/domain rules,,"domain not researched (web-search limit reached); name: ""equipment""",domain does not match name
Equipment Transport,equipmenttransportsanjose.com,equipmenttransportsanjose.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
EquipNet - Milpitas,equipnet.com,equipnet.com,original,,Yes,,name/domain rules,,"domain: ""equip""",
Esencia Farm,,,not_researched,,Yes,,name/domain rules,,"domain not researched (web-search limit reached); name: ""farm""",missing
Espinoza Equipment Rental,,,not_researched,,Yes,,name/domain rules,,"domain not researched (web-search limit reached); name: ""equipment""",missing
Essential Event Rentals,,,not_researched,,No,,name/domain rules,,"domain not researched (web-search limit reached); name: non-heavy-equipment term ""events""",missing
Essential Mobility,essentialmobilityslo.com,essentialmobilityslo.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""mobility""",
ESSLifts,esslifts.com,esslifts.com,original,,Yes,aerial lift rental,AI review (name/domain),,name/domain indicates heavy equipment business,
ETS Equipment,etsequipments.com,etsequipments.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
Eugene Marks Tractor Services,,,not_researched,,Yes,,name/domain rules,,"domain not researched (web-search limit reached); name: ""tractors""",missing
Ev party supplies,,,not_researched,,No,,name/domain rules,,"domain not researched (web-search limit reached); name: non-heavy-equipment term ""party""",missing
Evans Feed & Livestock Supply,evansfeed.com,evansfeed.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""feed""",
EVENT ENGINEERS,myeventengineers.com,myeventengineers.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""events""",
Everest Refrigeration,everestref.com,everestref.com,original,,No,unrelated/other,AI review (name/domain),,name/domain indicates non-heavy-equipment business,
Evergreen Nursery,theevergreennursery.com,theevergreennursery.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""nursery""",
Everlast Power Equipment,everlastgenerators.com,everlastgenerators.com,original,,No,,name/domain rules,,"name: ""equipment"" qualified by non-heavy term ""power equipment""",
Everything Medical,evmedus.com,evmedus.com,not_researched,,No,,name/domain rules,,"domain not researched (web-search limit reached); name: non-heavy-equipment term ""medical""",domain does not match name
Evolution Equipment Services,evolutionequipmentservices.com,evolutionequipmentservices.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
